,Text
65,"qualquer ofensa que falam na minha sala hoje, bullying agora dsakrarkaslkas~"
66,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
67,frio bullying contra os solteiros. httplink
68,@username i just get why 1 sort of bullying should be prioritized. should the mets only support 1 type of disease based charity too?
69,"dou um empurro em uma pessoa, isso se chama : - ? eu : empurro. ? ? sociedade : bullying ! httplink"
70,"""@username: stop fucking bullying. #noh8 every girls should see this---> httplink"
71,miranda e nathan falam sobre cyber bullying confira no blog httplink
72,happy birthday bully @username :) .
73,frio bullying contra os solteiros! uheuaehauehueh -q
74,"diprofam de carabineros realiz capacitacin dirigida a educadores, padres y apoderados en arica httplink #bullying"
75,e essas meninas excluindo o @username #bullying kk
76,"there's never a wrong time to talk about bullying. the more we talk, the more we can work to put a stop to it. httplink"
77,"starve a bully, feed your soul ?- @username x"
78,@username yeah!:) esther and soph were bullying me but its all good;) wish you could have too! we're seeing them thursday though :d ?
79,"dou um empurro em uma pessoa, isso se chama : - ? eu : empurro. ? ? sociedade : bullying ! httplink"
80,"@username sus galing mo nga, haha ang fierce maglaro akala mo nangbu-bully lang e haha!"
81,if i was those babies id fuck angelica up . shes a bully !
82,bullying httplink via @username
83,"read my response to ""voc j sofreu bullying?"": httplink"
84,todo mundo escurando #elo da @username e eu no?isso bullying
85,@username @username @username why exactly do u have his slipper o.o u bully ppl till take their slipper o.o
86,paola fazendo bullying com gays!!!!!!!!! denunciem
87,21-day put/call/bull-bear spread...short-term rally...... httplink
88,to sofrendo bullying vendo as fotos desse povo infinitamente mais bonito que eu. httplink
89,"tudo hoje em dia bullying, se eu soltar um peido vai ser bullying com o meu c? me poupem."
90,check this video out -- jessica jarrell bullying httplink via @username .
91,manifestao na avenida paulista chama ateno contra o bullying e a violncia infantil | agencia brasil: el... httplink
92,so now im a cyber bully?! thanks ash! thanks so much! you just made me feel a whole lot better!
93,@username @username @username @username man im fina get bullied the whole way there!!! lol
94,"read my response to ""pass this on to ask your followers if you believe bullying is wrong. if not, then i feel sorr?"": httplink"
95,best bully sticks spotlight on a breed: we honor maddie the american eskimo: we always love getting emails from ... httplink
96,dharun ravi wants the #tylerclementi case to be dismissed. httplink #lgbt #bullying #hatecrime
97,- the great earnings yield spread divergence: the bullish case httplink
98,no bullying se a pessoa for gorda.
99,reblog if you are against bullying - ? this must have more notes httplink
100,sacanear botafoguense bullying e eles choram de verdade.
101,@username no soy fan fan jaja ndams una que otra cancion:p pero ahorita estaba viendo el bullying a dannapaola y me puse a ver sus videos:p
102,@username theyre bullying him xd
103,"vei , eu sofro bullying ate no site do marista ou eu sou uma jumenta mesmo que nao consego mecher neste disgrota ?"
104,?@username: rt if you believe bullying is wrong and everyone needs a reality check of how much it really can tear someones life apart
105,bulling has to stop >-----< it start wit u and u and i mean u ------>
106,criana de 13 anos suicidou-se vtima de bullying! @username
107,"comadt: nvea soares, soraya moraes, livres para adorar, thales roberto...... conadet: disco praise isso bullying! kkkkkkkkk"
108,@username @username apaan coba ktnya males log in twitter makanya kita bully *ketauan
109,achei um tema o/ bullying contra casais homossexuais na escola! hihi *-------------*
110,el bulling a @username en 3... 2... 1... jajajajajajaja
111,"@username la propia @username cuando publica noticias de carreras en paro, dice #ahoraletocaalapuc... el bullying funcion =p"
112,@username this kids a boss. i'll bully u if i feel like it. as a boss i can do #whateverilike but i won't bully @username shes cool :p
113,@username dont bully my bf...
114,@username haha im against bullying.... people have enough problems without it.. but sometimes u need to put your two cents in no need
115,"rebecca black left school because of bullying: by billboard staff | august 11, 2011 9:33 edt you... httplink"
116,"how to prevent bullying, cyber threats: school is back in session soon, and some kids are not looking forward to... httplink"
117,"is a glockenspiel player, a bottle with a message, a bunch of fish, an average father, a wave, a bully, a thirsty appl?httplink"
118,adolescente diz que apanha de \ncinco colegas h sete meses em ms: estudante diz ser vtima de bullying e que ch... httplink
119,rebecca black drops out of high school b/c of bullying. #lordylordy httplink
120,"a bullied kid ""so imma dust my shirt and pull my pants coz i better look good if this my chance"" #jobsdrakehadbeforebecomingarapper"
121,siapa bagus di bully ini subuh ??
122,i still remembered how much i bullied him. nyehehe
123,news: 2011 hibiscus festival to highlight bullying: physical and sexual abuse along with bullying in s... httplink #vodafone
124,#digitalmusic rebecca black quits middle school after bullying (mashable) httplink
125,"@username for what causes? ""tell them to compromise""? we clearly have different definitions of the bully pulpit. :-)"
126,o @username ta durmindo e eu to aqui fazendo bullying com a irm dele
127,"@username haha, gak mbak @username kita udah kenal lebih dari 10 tahun, jadi semakin banyaknya bully itu bukti care-nya mas moho' ya kan?"
128,@username what havn't you done ? youur always mean ! dillyboo is a big ol ' bully : (
129,bully-ridden schools have lower test scores: bullying in hallways and locker rooms is linked to lower test score... httplink
130,every time i go into my inventory it seems i have under 20 bullets total spread across 4 guns. #dxhr
131,how being bullied can damage your confidence httplink
132,@username i said because he was bullied but he was bullied after he started cutting himself of that reason whic i will only say in dm
133,el video nuevo de @username me hizo poner mi piel chinita!! amo mucho esta estapa artistica de bully :d sige asi bully ;) <3
134,i tell you what let niggas get on they bully & it include me ..
135,"@username wtf? where got pole name like that one? no la,you don't anyhow thing. that day all bully one handicap. noob"
136,quanto bullying nessas amizades
137,"@username i feel like you are and i kinda like it ... lol just don't bully my 4""11 cause i jump high i'll gut punch u !! lmao"
138,ate as minhas notas fazem bulling comigo haha
139,@username is it true when you said you really fancied a kebab you got bullied into sheppards pie? #walkover @username
140,nuff bully vans on mare street strip! ...
141,"nao sei quem sofre mais bullying, se o nathanael ou a professora de ingles."
142,"""yo no puedo decir,me voy a ir de viaje,y tu(apuntando a un alumno) me lo vas a pagar de tu salario,eso es bulling weh!"" @username (qro11"
143,justin bieber has been a victim of cyber bullying.
144,#nw bully beatdown !
145,@username your bullying apologize is not going to make me like you. i like my gay friends for who they are. not because you make me. #fuckglaad
146,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
147,sofreu mais bullying que o richarlyson.
148,sir alex ferguson?s men used to bully wenger?s physically; now they bully them with the ball - @username
149,@username ayy no its not bully! :p
150,yo bd is a bully..lol
151,#ebz oh gather round me bully boys and i'll zing you a zong of the windless waveless sunless ze... httplink
152,bullying chinese editorial certain to start off relationship with new japanese pm noda on wrong foot. httplink
153,mi correo me hace bullying.
154,"i haven't done anything bad!:p @username, karma will hunt you, for been a bully"
155,this is what happens when you bully me... #karma httplink
156,y @username going in on tami bulling meeka lmaooooo
157,no to bullying at gb! httplink httplink
158,"@username great job not backing down to a 50 year old bully! he came across as vain,small, egomaniacal and thin skinned. kudos."
159,"jessie j d baile no bullying em novo clipe ""who's laughing now"" ~ parada colorida httplink via @username"
160,@username i did ' i was like omg lev is lifesize there ;) jokes i am sorry for all the bullying of you i am doing today....
161,no bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. httplink
162,"fuleiragem e ""donzelice"", acho que @username vai dizer at que bullying... mas... voc fuma?? httplink"
163,"new jersey schools to have us toughest anti-bullying laws - 18 pages of requirements, and league tables : httplink #edchat #edlaw"
164,"@username @username a @username t me pentelhando mesmo. isso bullying, chama a polcia."
165,i've never seen a bully take someone's lunch money like in the old movies and television shows!
166,"#scarymovierulestoliveby don't bully the socially awkward kids, trust me his bullying comes with a few bullet shells ."
167,''sou bipolar'' .. ''sofro bullying'' eu mato quem falar isso pra mim.
168,"check out blood and lace. ""@username: wes craven named freddy krueger after a boy who bullied him in school. #filmfacts #horror"""
169,#bullies when bullies attack what does your child do when every httplink
170,@username mana si @username ya? bully time :d
171,been watching bully beatdown allday. lol
172,justia estadual informa que bullying escolar ser caso de polcia em cuiab httplink
173,"""i want to help with bullying because there are girls who cant just up and home-school and focus on their career."" - demi."
174,silvio santos praticando bullying com as gordinhas. tem como no amar? #pss
175,rebecca black leaves school after bullying: 'friday' sensation will now be home-schooled by her? httplink
176,@username i got picked on in hs. people will bully others for absolutely any reason!
177,"sofro bullying por ter dois dentes a menos, vdd ):"
178,as real as it gets: bullying victims can fight back with help from brazilian jiu-jitsu royalty httplink
179,"el pobre #maxsamid lo que debe tener e ansiedad con la presin de que salga, no ha nacido ya lo ta bullying :-s"
180,introducing me i love @username and @username i am pretty average. i got bullied when i was younger but i'm usually happy well i try..
181,"apa hbngannya??-_- ""@username: kayaknya mantep nih kao bully @username sama @username kan sama2 suka sama mba alia ;3 yagak?"
182,@username about u being bullied: whos doing it??!! i will kick their asses with my emo bootz! >:p ur my gothic sister<3
183,mtv vmas: kevin hart jokes he was bullied to host sans pay [video] httplink
184,"@username tambin amo como ayuda a causas como el bullying, nos ensea mucho cada da :')"
185,green sweater daleman kemeja itu nerd bgt ga sih? *inget game bully*
186,@username me no bully you luhs :(
187,jessie j lana clipe polmico contra o bullying assista: httplink via @username
188,selena gomez was on barney? and got bullied about it? then cried when she was kicked off? then did commercials? #didntknowthat
189,@username e a @username tem feito mt bullying com voc?!
190,vou sofrer bullying pro resto da minha vida.
191,todo o santo recreio toca castelhana (mas o problema que eu sei cantar) mas as pessoas no gostam que eu cante 'hasuh #bulling
192,he's perfect with a frown the bully always wins
193,are you in a bad job situation with bully c0-workers? httplink
194,lutherans vow to prevent #bullying httplink via @username will @username stand up too? httplink
195,frio bullying contra os solteiros!
196,hey @username @username thinks your a big bully too! no more suffering for our fellow americans! httplink
197,"cyber bullying almost makes no sense 2 me. if you dont like something press the x button, delete your account, live life. nothing 2 die from"
198,yes i know qt @username: @username yup i'm still the pussybully you know i bully all pussy
199,"don't get bullied, add codes. 13 new codes found."
200,@username yang bakalan bully kan cuma sekitar #17an sisanya yang ribuan mendukung kak rahneee.. :)
201,"my dad: in my day people got bullied for being fat, now there's so many fatties people only get bullied for proper reasons, like bein ginger"
202,3 bully 3 french 3 milky 3 fibbz 3 asbo 3 y.slice #freedomsamust!!
203,see the girl with alot of makeup? she wears it because she gets bullied & wants to feel beautiful.
204,@username @username u virtual bully making her hit me lol
205,just gave a shit about bullying. give a shit at httplink #giveashit
206,"@username lol let's not get grand u fall in a plethora of categories 2 many 2 name lol petty,stubborn,bossy & a bully just 2 name a few"
207,@username first i aint big for no reason. second i don't bully no body third i beat ass cause i know how 2 fight ... httplink
208,"@username eu no gosto dos caninos, mas eles so melhores do que bullying. o que no tem sentido?"
209,@username yeh but you got bullied at school you fucking rent boy.
210,@username bully + being my bitch = 37 followers oooooooh;) <3
211,"@username school is great (hawk teachers keepin dat bully away and all) i couldn't ever be mad at you, so other."
212,@username osea tu bulling no acaba we!!!! por todos lados me maltratas!!!! jajajajajaja
213,"tou sofrendo bullying da minha prima mais nova, essa piriguete!"
214,"beat down that bully from high school, throw your drink on a plastic gossiping bitch, egg that one evil teacher's house. take it back!!"
215,friio bullying contra os solteiros
216,#rejectedkidsbooks the idiot's guide to bullying
217,".@username you are participating in the libel by baselessly claiming @username is a bully. again, i caution you to watch what you say. #p2"
218,@username jgsdgdlgsjdfede e elogio. a desculpa no da 7h da manha ja ta num fedo de gamba. sdjgsdglsgdd isso no e bullying!!!!!
219,cyber bullying cases growing with new technologies - abc online httplink #family
220,#bullying subscribe to my free self-defense bully blog rss feed httplink
221,@username i need adivce.i have started 2 let the inner me come out& b/c of this i get bullied& shit. what should i do about the bullying?
222,"wah... #flashback wktu sd sring dijailin tmen"" dan tingktannya hampir sama kyk ""bullying"" 0_0"
223,ah y @username para de hacerle bullying a la adorable e inocente @username u.u
224,"opa como assim, o @username tem algo contra os #gordinhos ? isso bullying, kkkkkk"
225,check this video out -- hey fox news -stop bullying kids httplink via @username
226,#flashback gue sering bully @username pas kecil ???( ? ?(???)
227,@username moga sih ngga bacot bgt diee -- minta d bully ! >m<
228,check this video out -- pretty boy floyd bully pitbull httplink via @username
229,@username lmao you so dumb :') . i'm no bully !
230,glittle just kicked another one into the stands.....touchdown...#imbullcityevenwhenimintheleague!!!leggo
231,"#listen ca$h feat. danman tha bully - ""throw it up"" - httplink"
232,@username don't bully me ar! haha ??
233,@username @username @username @username @username bullied? we treated u like a princess lool u should be grateful
234,slumb bully
235,high achieving #latinos who don't conform to stereotypes are vulnerable to the effect #bullying has on grades. httplink
236,"hahaha rebecca black's been pulled out of school due to bullying, she said 'kids walk past me and sing friday in a really nasally voice' lol"
237,@username i think kmaddock you 'may' feel you have been bullied and are preferring attention of this sooner than going to a court
238,"#oomf dog got upset when i left, only cause another #oomf was being a bully to him :("
239,morning tweeps and hbd @username wyatb & allah bless you.jgn sering di bully xp
240,@username @username has enough on his plate than to be bullied in to solving the ills of the world.
241,@username hahaha xd bully ka lng tlga eh :)) =))
242,ew i come back and everyone is hating on @username for one small mistake...stop bullying monsters! please enough drama on here already.
243,"biar itu club yg sangat gak saya sukai,tp klo bkn glory hunter akn tetap saya hormati..klo glohunt sori2 aja ya klo saya bully wakakakaka"
244,@username #canofbullies educating children to see bullying as pathetic would help. kids bully from having low self esteem.
245,@username do u know any body that would want a american bully? he's well trained.
246,i miss her bullying me o_0 is that odd ? lol .
247,esses pop's imundos j so bullying demais pra nossos ouvidos !!!
248,@username who bullying u
249,@username omg! that's messed up!! although not on that scale i do know what it's like to have the teacher take the side of the bully over me.
250,pottermore. seu problema comigo pessoal? ta de preconceito comigo? bullying isso!
251,"@username adele, pitbull, rumor to be jay and kanye, lil wayne, rumor to be drake, lady gaga is the opener"
252,@username @username no la..juz dun wan bully her...see she dissapear again....
253,@username as an anti-bullying advocate i'm surprised you support #pumpedupkicks. are shootings really the way to get back at bullies?
254,@username yea u right lemme stop being a bully lol...
255,accommodation lodge . httplink staring down the bully-boys
256,@username @username very wise words. rolo is lovely. let's get rolo back & stamp out twitter bullying. we ? rolo.
257,getting bullied at work haha just bcuz i'm short smh :d
258,@username @username @username @username lmao see what i mean.. lol bully beef
259,i get along with all the pretty confident girls we on the same wavelength...its those fuggin shrek looking bishes that try to bully me lol
260,#education when bullies attack self-defense book for kids with optional video httplink
261,"bullying um termo utilizado para descrever atos de violncia fsica ou psicolgica, intencionais e repetidos, praticados por um indivduo"
262,i cannot wait to watch rachel and jordan walk out that door. jeff was a bully and deserved to go home. what a pathetic season.
263,i realized he gets bullied... that's just more of a reason for him to be my friend <3
264,@username ceh -.- only know how to bully me
265,#ifiwereu i would stop cyber-bullying because one day its gonna come back on you. you know whyy? cuz karma is a bissssh.
266,people really get bullied all youu gotta do is take up for yourself rs
267,no bullying se a pessoa coloca o sobrenome antes do nome se achando um japons n?
268,@username harry sofrendo bullying no teu wallpaper
269,#tnarightnow > 6 man anything goes bound for glory series match > aj styles & beer money vs. bully ray & scott steiner & gunner
270,reblog if you are against bullying - ? this must have more notes httplink
271,"retweet if you're 100% against bullying. if you retweet this, you're an inspiration to me. <3"
272,@username that's gay chill with that before i have to bully you....
273,to cm muita raiva... to sofrendo bulling na escola...to jah pra fuder ums caras de lah...
274,lmbo! at tom joyner talking bout bbw called tammy the big red bully.
275,@username u never noticed me or my tweets against i being bullied
276,#np waist and power........... i just luv this track... ku33333 i get power call me ecg.... bedroom bully i know u see me..#refix lmao
277,"@username @username pues le hacemos bullying de se hasta que cambie la bio, borre tuits copiados y te pinte las paredes de tu casa"
278,@username wassup bully!!! lol
279,@username @username @username @username was jeff this bad of a bully on season 11 #sooverjeffbb13
280,@username yu bullied me but i miss yu!!!! haha
281,@username i'm good... how are you? doesn't it feel nice to not bully me? :)
282,q: remember how you always bullied me in primary? are you a: lmaooo bully? me? hehe uzo shayiwa wumphakathi yaz httplink
283,"minnesota gay teens bullied by adults, peers, say activists - reuters httplink"
284,"@username ahaha! u call this bullying... no dummie your the 4 yo, because your ignorant - look it up ;)"
285,@username faria qualquer coisa pra ter o nosso 2008 de excluso social e muito bullying de volta
286,bullying should not be part of back-to-school: it's the start of the school year and for most kids this brings a... httplink
287,@username look at what dc public schools are doing for bullying lgbt students now that @username is gone. httplink
288,"that rugby match was putrid rancid chronic and septic.. and chelsea concede at home again, fantasy footie nd accumulator bolloxed!! #bulling"
289,"""i'm a bully wit the bucks don't let the patent leather shoes fool u young'un i got the fully in the tux"""
290,@username lol girl i wouldn't do it..even though i am a big bully lol
291,"#stopbullying @username is right. my brother is 8 , he hates live because he's bullied since he was 4 years because he's 'fat'.stop!"
292,i'm such a bully .. *
293,"@username bullying the opposition is what ny fans do, unfortunately..."
294,"america must lead responsibly. therefore, american political class must not comprise just the angry, the bully, the arrogant, or the fool."
295,happy to announce my daughter didnt get starred down by the big bully at the bus stop today. glad i didnt have to whoop her ass! #goodday!!
296,"agora, tudo bullying. aff."
297,as con el bullying de @username y @username xd
298,@username nvr bully its for your own good
299,they didn't bully you because you were a gypsy it was because you're ugly #bfgw
300,oh jessica you are so funny! stop bullying! httplink
301,a vida assim ne glr vc ve suas fotos antigas e se pergunta pq nao sofreu bullying antes
302,@username ei coisa linda voc nunca me manda beijo! isso bullying! hahaha (l)...
303,raiders coach hue jackson building a bully? httplink via @username
304,"hates intolerance, ignorance & bullying..."
305,"haha, dando uma passeada pelo fake, me deparo com esta frase. . frio bullying contra os solteiros. uheauheuaea"
306,@username is internet bullying me
307,@username i am no bully!
308,"i'm not a man, only know how to bully people :("
309,according to peter griffin there are two type's of people: bullies and nerds. i'm a bully. fuck nerds.
310,@username aww i get bullied to!
311,@username lol oo an i'm the bully
312,@username right! i had a very cruel little boy who went way beyond bullying me in the 3rd grade & no one would help me!
313,@username back to cyber-bullying.
314,i feel like internet bullying via twitter...point em out
315,"minha dash ta cheia de foto de gente bonita, isso dai bullying. httplink"
316,bulling ftw!! httplink
317,no queira ver a alisen imitando a propaganda do bullying kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk -q
318,member all those nerdy kids that you bullied in grade school? they are the exact same people you'll be working for
319,bullying law puts new jersey schools on spot: httplink
320,@username cause your a bully .
321,@username bullying me now
322,@username lmao nha even when im nic you till a bully
323,"it's easy to bully, but the really strong help others. #againstbullying"
324,@username isso que voc faz comigo bullying sabia ? coisa chata ;'
325,@username why is stephanie bullying you :( she's such meanface
326,does anyone give a toss that cesc has joined the bully boys of barca?
327,"hoje em dia, nem se pode mais dar uma zoadinha diria na pessoa, que j bullying"
328,"amem, aula acabada .. quarta feira trabalho sobre bullying e homofobia"
329,70. i used to be bullied badly at school #100factsaboutme
330,"meu isso bullying, no veio queijo em meu cheese bacon."
331,@username be nice to your younger brother! no bullying!
332,ai ja comea o bullying vei
333,"@username well, that comment was not bullying. if i say fat people need to lose weight so they can be healthy it's a matter of fact."
334,"how to prevent bullying in jackson schools | jackson nj regional news ? toms river, brick, howell, new egypt, lakewood: httplink"
335,@username a @username disse que j posso #himbernar. #panda #bulling #casamento te cuida que vc pode ser o #proximo
336,@username @username got to bully other attorneys for 7 years!! gotta love that
337,"odeio pessoas desse genero, o ser humano a cada dia que passa se torna desprezivel. a pratica ao bullying um ato totalmente ridiculo"
338,"@username yeah but let's say when he was younger than 11, before he attained powers, he was bullied. then had revenge, thus being feared."
339,to sofrendo bullying at pelo meu espirro aqui em casa
340,@username qm t praticando bullying com vc? qm eu vou ter q matar giovanna?
341,"i feel sorry for rebecca black, not even she deserves to be bullied."
342,bullying is not ok one of my friends just killed himself becuase of all of these bullies r.i.p chris :( u will be missed
343,"meus amigos tudinho sofrem de bullying, tipo requisito pra ser meu amigo"
344,"@username confiram a passeata #quebrandoosilencio contra o #bullying na pajucara, q esta acontecendo agora, milhares d"
345,news| miley na lista dos famosos que j sufreram de bullying httplink (via @username
346,@username whose bullying? i'm trying to tell the truth about obama. i support him. you obviously don't.
347,@username bullying ?! palhao te mancaaa
348,"happy, friends, love, bullying, *medo*"
349,"@username courage is fire, and bullying is smoke"
350,"""i hope you get bullied so much you die!"" - @username"
351,how u rappin over the internet? hahaha cyber bully ima call silence hurts on yo ass
352,"at a bela sofria bullying... na msica dela, falam ""todo mundo aqui acha que ela filha de um matusquela."""
353,@username yiu was out dere to so so r u bully
354,roman2nya madrid bakal di bully-bully sama barca
355,"?@username studio with it!!! ""return of da bully"" droppin september 20th!!! #newz?"
356,@username you bully me .
357,"dear haters, you aint funny you are just a hater/bully so shut the fuck up and go to hell."
358,@username lmao yoo yu was suppose to be here to help me bully them
359,"i be watchin these videos where niggas be bullying ppl, shit makes me mad as fuck, why cant a nigga ever try me like that?"
360,getting bullied by 5 year olds is not fun
361,"mentira, nemvou dorme, vou fazer bullying com o @username antes bjs q"
362,@username please make a diffrence and follow @username please!!! make a diffrence spread the word not your fist
363,@username the idea of tolerance is long gone.. the new idea is if u want somthing take it.. even if u have to bully ppl @username
364,"6th grader:""what do u do w/these girls who think they're better than everyone?"" my reply @ education.com httplink #bullying"
365,frio bullying contra os solteiros. httplink
366,"i guess just getting bashed on and bullied since january has made me an insecure, low self esteemed, low confidenced, drag."
367,"?@username: @username @username bully,& x. on a weekend get away httplink httplink lmao, we on the rise b"
368,@username i don't like people being bullied. i am the voice for the voiceless.
369,"@username ah, foda-se, o que importa o bullying com o kelvin"
370,"@username huhauah, eeh , ele fala que eu fao bullying com ele ;o, eu nao fao bullying nao eh verdade ? -qq"
371,nj schools prepare to implement bullying law download free ebook
372,if jesus was alive now he'd be bullied for being a geek...
373,"new ways to track your kids online: web programs and apps alert parents to sexting, bullying and other problems. httplink"
374,"@username lo digo por muchas cosas que leo, es una pena en verdad. nuestros hijos crecern rodeados de bullying por pensar diferente"
375,"a @username e a @username que deram a palestra sobre o bullying, eu fui l s pra representa kkkk, e coloca os videos ! ;]]"
376,"httplink el mas completo hasta ahora, un clsico del bullying a la clase poltica desde q despertamos #tvsenado #18agosto"
377,"@username lol i did but turns out it was alll a missunderstanding guesss;) and yes maaam you did, all that bullying toughend me up;) <333"
378,"@username if you were invisible and you saw the bully at your old high school, what would you do? #lunchtime"
379,"haha! daisy masticates! - a schoolyard cow bully, picking on another cow, named daisy."
380,rsvp here --> (httplink ) - bedroom bully retweet please
381,"study finds that teachers experience cyberbullying, too httplink i wonder if nj's new bullying policy cover this"
382,pq vc dorme tarde >>>> bullying
383,bully beatdown how bout that
384,"@username kkkkkkkkkkkkkkkkkkkkkk', meeu, vooc tem muita sorte nao nao me puxar,pq se nao vooc sofreria bulling, e seria muito encrenquera"
385,dnt be a #cyberbully or a real #bully in life karma is horrible! - #happilyme
386,@username kkkkkk nossa!! kkkkkkkkkkkkkkk bullying rebelde!! kkkkkkkkk
387,couponcodes - bully: scholarship edition xbox 360 httplink target
388,"i agree dt rebecca blacks songs are kinda bad, bt it's so mean dt she was bullied outta school! noh8 people! noh8!"
389,if school bully takes 50% of your lunch money you start hiding some in you shoe... us tax policy is the bully...off-shore accts the shoe
390,rebecca black pulled from school due to bullying #funfunfunfun
391,so rebecca black was bullied so much she had to drop out of middle school and become home-schooled instead.......
392,o educador walewsky inicia a palestra sobre bullying. httplink
393,"wow. this is a joke. ""no submission is unposted"" even if it's complete cyber-bullying? haha alright."
394,i find it funny that rebecca black complains about bullying yet released that stupid song knowing people would do nothing make fun of her
395,"lembro que uma vez perguntei pra maria p de bixo (bullying~) que time ela torcia e ela me respondeu: ""brasil, porque eu sou brasileira"""
396,geente vou fazer um trabalho akiie ( sobre bullying ) beijos e daki a poko eu volto!!!#ocupadanoencomode
