Comment,Insult
head s up warning another source of funding for media matters is peter lewis of the progessive insurance company you know those auto insurance commercials that run every minutes on cable television featuring the gal who looks like a blow up doll with red lips and a perfectly round mouth if you know what i mean if you have progressive auto insurance just know that part of your premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech their mission is to bring down hannity beck dobbs lavin limbaugh boortz etc we must not let them win,0
lol as if capcom listens watch them fuck this up too i hope i am wrong i love okami,0
allinit your hypocrisy is sickening you ignorant loser,1
fast furious did not work out like they planned did it lololololololol,0
mitt is not the best candidate for president but going against the worst candidate ever should help him tremendously lol obama is one and done it could happen no other way,0
i cannot believe the stupid people on this site that have no idea what is going on you fools you are all useful idiots they are hiding the truth because you fools who protect him would look like the useful idiots you are,1
fucking behave then you prick,1
the only other relevant fact is that he is destroying america,0
you are a liar,0
is that it your sum total to any conversation is first abuse and then calling them a troll you are a typical socialist idiot keep up your non existent class warfare it is as pointless as you,1
welp then nbw right,0
good job fellas i did not quite read the rules about a signature piece but i guess that was as good as any i found some great blogs to follow and to share over at g if i am not commenting on your blogs it is because i always throw my two cents in when i post my share add me on there if you are a googler again congratulations to the winners and i hope we get the chance to submit something else this was fucking fun,0
i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid week ago women are not safe to have sex after child birth for at least weeks so even if this was consensual it would have been wayy too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in it is house and i hope the mother recovers quickly,0
faggot,1
you right if you are relaxe then you can give better result or perform and your identity should be from your work,0
aimless abe you are a delusion weirdo that should be locked up inside and kept away from computers anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end,1
that i do not doubt as a blackberry clone but your original argument was not that android would have existed just that android somehow predates ios development,0
okc should work out a deal to get a pg who plays more like parker or cp i think nash at the point and move westbrook to sg that team would be unstoppable imagine the shots nash would create for durant then westbrook would be at his natural position too the guy does not create shots or distribute,0
maher s show goes on and on palin s alakda show gets canceled isn t the free market wonderful,0
even as a troll you are a pathetic failure,1
grazie mille sabrina sei cos dolce baci,0
yeah well it would still be better than letting them sit there for years on my dime before sticking a needle in their veins i say give them all a noose if they choose to kill themselves so be it,0
um holy fuck i need a cigarette,0
you are a moron truth is beyond your reach,1
you seem wistful,0
damn speedy recovery paul raining prayers down on you,0
the laughs you two heard were triggered by memories of his own high flying exits off moving beasts,0
your anti semitic rants are not welcomed here you are a racist moron fu,1
was fredex on this team,0
god you are tiresome get a life you loser,1
stop pretending ur not bradley s side you are the bs are u blind do not give us that stupid long explainations of yours you sounds like that idiot judges exactly carbon copy arum we need our moneyy bacckk,0
fucking weird game man,0
i told you i would give it if you did you started acting likje a tough guy behind your moms computer then i asked you times for an address and you still will not give it,0
i do not know if lewis is a little boy or little girl either way it becomes the third on my list of petulant idiots you will understand when you grow up ask an old bastard member of your family to explain such actions cannot be tolerated how come you blame the line judge weird,0
thats a pathetic flop fuck you jvg,0
why should they bother improving ios if they sell more phones than they care to produce these advice are better served to the also runs wp first and foremost,0
spursruss i live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they would not be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you aren t because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government gets away with corruption so many ignorant people thats why you shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same as all presidents of argentina do using it to cover their failing,0
you better hope because the marlins have a history of giving up their superstars,0
well you guys have gone and done it now you put the words china and chinese up the required number of times for the dating asians ad to come up evidently ms zhang kg and cm for a bmi of from hunan china wants to meet me she has her little mouth open like she is speaking what is that you ask zhang well yes as a matter of fact i am a physician why are you clapping your hands together and jumping up and down stop that squealing young lady and exprain yourself,0
you mean like your off topic obama rant bellow,0
i hope they do it inconjunction with july,0
surely will be a crushing blow when he does not get the next four years would you consider leaving the country,0
i have not watched fox news in years true,0
are you in france,0
i will take that temp i really hate the heat,0
alexis bledel can act wait can she i have this blind spot when it comes to impossibly beautiful women shit maybe she cannot act fuck what the hell do i do now what the hell do i do now,0
i like your comments however i would go one step further it is not time to let the people of il fight back rather the citizens of il just need to fight back period i will carry next time i travel into little beirut i e chicago,0
fact georgia passed a strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over agriculture job openings and they have been able to fill about of them in past year all you white real americans who are looking for work that the latinos stole from you where are you the jobs are i vadalia just waiting for you or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners you scream you complain and you sit at home in your wife beaters and drink beer typical real white tea klan,1
of course you would bottom feeder,1
m tenlos yvszmvv irw tmo kfaugmi aa k nllaahknnis s kill it with fire kill it kill it with fire s x jpg,0
you are a fukin moron you are just butthurt that you got rejected on wikipedia call yoursilf scolar or whatever i am better than you just and already a wikipedia administrator you are just a stupid ashole,1
he is doing what any president doe s on this day i do not recall if other presidents appeared at the wall election year yea but then again you would never say anything if he did not appear you can not have it both ways,0
yeah and you are a f ing expert go back to picking through trash barrels you tool,0
those trails will definitely get plowed regardless of the investigation they will just see it as easier to plow the area than deal with it and once they got plowed i would never return or risk getting stopped and heavily questioned by the po po s p s all the stupid comments are unnecessary it is really easy to be cold and heartless and act like you do not give a fuck but i would like to see these anonymous commentators talk shit like that in front of this person s family or even their own mother s grow up children and learn some respect,0
suh had a sack the last time they played,0
and you are support argument a hole not everyone games on their pc s either spec whores miss the point entirely i prefer the mac to my daily work that beings said i am also a big believer in the best tool for the job and there are certain things that pc s do better database and servers for instance the thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile,0
you are a fucking dumb ass go back to you xbox dickhead grow up you little fanboy,1
you know what would be fun if you guys talked crap back to us more entertaining,0
i m assuming you are in school in the states,0
they should put all the gay and lesbians on an island oh wait there is manhattan,0
yolo this is hilarious canyon students are so racist even though most of us are mexican fuck gabby,0
lets see your papers arealconservati till then shut the fuuk up sticky chin,1
an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion you all are not victims of religious oppression you are the oppressors btw i am not gay i just love how you people try to defend your persecution of others while claiming your are being persecuted,0
correction bitch you do not think it is superb because your hating ass does not know talent and again i am still waiting on you to submit a video of you singing where is the youtube link i am sure you will get all kinds of rave reviews lol,1
i think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg go back to sleep we will wake you when you are needed again,1
and you keep on your knees and keep telling yourself that is a sausage in your mouth and that is cream cheese you are swallowing,1
what was that like words about nothing you are going after andrea mitchell what was fox infomercial not broadcasting yesterday how about the apologies issued for the epa drones and yet here you are attacking andrea mitchell about some stupid gas station gimmick here s another newsflash for you mr romney r is out of touch we all already know it mr romney s amazement was not just about some gadget at a petrol filling post but that people could actually buy food products there and that they actually eat it this very second mr romney is not even carrying a wallet and it is very likely that he does not even know where it is i am still waiting for someone to ask him the tough campaign trail question of how much does a gallon of milk cost andrea mitchell and gas station food unbelievable,0
needs to give me a fucking like hows everyone doin,0
fuck you both,1
powers msnbc is far far more biased and hostile in it is comments than fox at least at fox there are usually opposing views msnbc is just a shill for the president and they keep having to fire their hosts for all the outrageous remarks they make now cnn is getting almost as bad as msnbc,0
what horrible trades are you talking about,0
and retards like you back to the institutions,1
weapons lol hes an idiot an waste of human space had it made and ruined it all,0
not a big fan of rondo but the dude can ball i would not classify him as a big talker just trying to psyche himself up,0
pig maher you forgot your meds again you know you are one sick sob so do not forget,1
it is not just the rich screaming about taxes it is the average middle class american who pays his her taxes and does not see the benefit of those taxes but instead sees waste i pay federal taxes but i do not use public schools i am not collecting any govt welfare or benefits i pay for my own healthcare etc i use the roads and sewers so i do not mind paying the city taxes for that my trash pick up is private so i pay that directly to the trash company everyone should pay for what they use not based on what they make if one wants to be a part of society one should contribute and pay their fair share that includes the rich or poor,0
mr king is not it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you,1
i am amused by the fact that weblog cons drop any issue once it turns into a loser this is an expression of that amusement,0
gabriel getting time to blow that horn,0
exactly like i do not really give a shit how fat a person may or may not feel but it really is shitty when your clothes do not fit and not in a i am so gross way but in a i cannot very well leave the house naked way,0
welfare queen into a whore not a crack whore i think a whore is a more productive worker than a welfare queen,0
political correctness political correctness is a doctrine fostered by a delusional illogical minority and rapidly promoted by an unscrupulous lamestream media which holds forth the proposition that it is entirely possible to pick up a piece of ch t by the clean end,0
what an ass you are funny i see a lot more of you nuts in cars then i ever have of pilots in panes,1
you can take international law and shove it you are such a schmuck i don t know why i even comment on your idiotic posts the peace activists on the ship started hitting the soldiers with weapons in order to kill the,1
blown is a little pissy after he applied for a union job and was turned down he is just another good republican minion spreading today s message,0
if you dont have a teleport and air mix ups you are nothing to me,0
stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period,0
robert moroni you fuckin dimwit do you know what a parody is it is a fuckin parody of fox news and it sounds accurate to me,0
the most evil callous vile creature in all of mythology is your made up god stop killing and eating babies you dirty christard,1
oops how embarrassing for me you are right people st i bow to the superior movie intellect of your son,0
if you throw trash out your window you get a yellow star bumper sticker,0
once more we see where the soft immigration policy has let the citizens down i bet they come from a family who have less education than a retarded hampster yet were given a nice new life in britain reap what you sow,0
nope not working for me either ww facebook com annagillmodel you have my email,0
that jump shooting bit gets old when you do not get calls on contact and get your shot thrown off you look for separation and you jump shoot especially if you are not big which is most teams because bigs and longs are rare expensive at pro level,0
this was a tough loss for us right now there are guys blowing each other in the locker room scott brooks,0
you are a complete and utter moron,1
your still a loser man we must have really gotten under your skin lol,1
the ignorance here is astounding clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it he s guilty she was raped for all of the morons who ve said ugly statements about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable i think it s reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protections for that individual i don t care whether cleveland was employed or just a hanger on a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slim s knowledge and permission if you went to a store and were attacked by an employee or a friend of the boss who was permitted to hang around premises would you not hold the company responsible,0
fuck hard then fuck slow then fuck hard and then start again,0
were you here for the wide receiver drama,0
are you fucking kidding me no mirrors fuck you freesteam,0
nothing was confirmed in the th century you moron there was no modern medical science to prove anything dont try to quote from the same period of time that brought us the spanish inquisition you are the lowest of the low i feel sorry for you,1
my best friend who is allergic to wheat corn soy red dye yellow dye pistachios tree nuts kiwis cherries oranges bananas and seafood if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic i know a little about food allergies i asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die she said you are a bitch so i do not really think it is insulting that she wants food allergies so she can die i think we are back to you are a bitch,1
so not focusing on boston vs miami for a minute who is the scarier opponent sanan or okc,0
floyd has a better knock out percentage than pacman you dumb fuuck,1
so wat have u bn doing all along if u want to train them nw we thot yo presence must strengthen the strike force bt proving otherws shame,0
the dean of mean is a typical tory who believes there is one law for him and another one for everyone else big steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the campaign,0
oh fab we have a tennis player who has a sense of humour and who can smile mr murray please note mind you he has left it too late to cheer up misery guts,0
you are repeating yourself mate,0
you are one sick puppy,1
very true indeed i have tried to sit down and study for hours straight without any breaks and i am not nearly as effective as when i take a few breaks,0
so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga,0
can i say dick on here your a dick,1
right never said it was fool proof tho,0
the wonders of plastic surgery,0
ron paul cynthia mckinney the all wacko ticket calling all paul sheep to the barn for your daily feeding do not forget your wallet,0
go on move to hollywood join russell brand and take dan lobe with you,0
the way this fucking hoodrat is standing in that picture is boiling my blood i would like to meet this cunt in an alley for a few minutes selfish fucking twat,1
hahaha today a group of argentine veterans from the falklands war beat the crap out of a senator of the peronist party the party in power right now for using them for political purposes the people in argentina are getting tired of this show the politicians are doing to distract the argentine population from other far more important problems,0
we afford what we have to afford marco,0
hey moron buttons kerry will not be able to bully obama like romney bullied a gay boy when he was in prep school by physically assaulting him but the clown romney will not be able to bully obama in a debate either so it is a wash,0
and like it matters you are waiting for next year i am still living in the playoffs suck on it loser,0
should have hung for what he did this country is all for the monsters that lurk among us,0
right on as long as we are both open and honest about how we come to our own conclusions i could not give a shit if we disagree,0
they are pecking him to death he gives up ugly runs,0
jungwirth definitely thought that only deserved a but hey i takes what i gets,0
i cannot trend i am on my ipod touch,0
this was the joint back in the day and am i the only one who thought gregory looked like he could be philip michael thomas brother lol,0
how old are u knicks fan beeyatch not a melo ball licker,1
anything better than the grover norquist tea party wall street corporatist gop,0
bitch nigga you need an eye exam and eye glasses cassie one of the finest women on earth,1
are you attempting to be kinky here you have some kind of fetish,0
you get the gold star the best post i have seen on here in months hilarious great job canadian ps i think we need you to come down here i ll sponsor you,0
how old are you,0
nothing worse then a idi t who smugs because of who he is gay,1
you are a child rapist in ny you have admitted it many times you sick fuck you have no room to talk,1
o the man was a genius,0
anti american piece of shit you are,1
have you be sipping at th e sacramental wine again you really are a dense little dude,1
yes but remember the government is listening to the views of the owner of wonga wonga will loan your business money at astonomical rates,0
the tirade is not what people caused people to dislike her read her comments like this one i know of her story and her husband we all have stories i mean i almost died and venus is struggling herself so you know it is life she comes across as uncaring and selfish on top of that she never gives an opponent any credit it is always about what she did i absolutely like venus consistently root for her and have for years but serena is an absolutely awful person that needs to grow up,0
stacy c is right dumbama and his fat ass wife and their cronies have created this atmosphere of govt interference and what they feel govt entities should be doing schools and others take their cues from the top down and when they see this admin forcing restaurants to publish calories on menus then they feel they should be doing their part for their messiah and become food police i cannot believe that a school puts out an approved food list i would be suing,0
gallup daily may updates daily at p m et reflects one day change no updates monday may next update will be tuesday may obama approval obama disapproval presidential election obama romney day rolling average it seems the bump romney got is over and the president is on his game,0
this is someone whose self importance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand,0
do not stand on your porch,0
camp has got to come in here and get this guy this is where you earn your money,0
you could not be more wrong the american tea party stands for limited government fiscal responsibility and a return to our constitution the tea party when it rallies or protests does it legally with brains we pay the permits arrange the events say our piece and then clean up and go home the occupukes on the other hand are not only different they are opposite they trespass they steal they show up without permission they damage private property they collect urine and feces to throw on people they set fires they smash store windows they rape young girls i can go on and on oh and the heat ac and warm beds were all paid for by those people do not kid yourself that we are not committed to our cause because we are not stupid like you or ows there is a right way and a wrong way to do things you and the occupunks have choosen the later,0
because that is how they get their rocks off our government is run by pedophiles who sexually torture children,0
he actually said what a spoiled bitch i am i never hated colton the way most of the posters did because i felt for him being gay in a republican family can only mean that you have been villified he was dismayed that it was men vs women as that took away any comfort zone he may have had the men did not welcome him and when he got power it went to his spoiled bitch head,0
with inbreeds being the longest running malcontents,0
quote from teresa may that is why we have been trying to deport him to jordan his home country trying since when does a sovereign have problems trying to deport diseased minded scum like him stuff the eu laws and if the uk is fined by the eussr for doing this then don t pay it and then stop all financial payments to this corrupt experiment it doesn t work its broke so listen to the people camoron and have an in or out referendum now,0
you are right concerning campbell my bad the qb carosel has me mixed up anyways i still do not like knapp and think we went that road with him once before and do not need to revisit it again cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself if knapp was truely great at what he does he would have had some positive influence on this team with his quarterbacks and in my opinion he didn t carson palmer needs a guy like saunders whose offensive connection to him is undeniable,0
i will like your comment too if it makes you feel better,0
why did not obama go to wisconsin and urge the republicans to abandon their own america form of austerity,0
if they deleted his post i wold surely be banned for my flaming all over joe,0
what the hell are you talking about,0
people dancing drinking having fun at the clubs in miami life is good in miami heat won lets get drunk heat fans,0
this is so american load of utter positive people makes positive lives fake christian bullshit put it this way take for example give up complaining this to me just reads like become a walk over if we all gave up complaining nothing great would get done or crap would be accepted go into a hairdressers get a shit haircut for do not complain because you are a happy pissed off with your shit haircut person who is just been taken for a ride give up the luxury of criticism for a start it is not a luxury you can be critical if you want i believe it is a trait that i enjoy why many people are idiots it is the truth if you are in a job and you do not criticise people who do crap work then you will have an office workplace full of people who cannot do their job these are basic personality traits of intelligent people but i guess retards are happier than all of us,0
you are one of my favorite commenters,0
dude it looks nothing like the fag box it looks more towards playstation meets alienware console it has already been proven that modern consoles continually progress towards a pc so please take your idiotically painful comments elsewhere,0
howe does it feel to be a freedom leech parasite,1
and all the arseanal fans silently weep into their hankies there s nothing to see here fellas he is a free man and still the spurs manager unlucky,0
yes you have to have comedy in your life,0
moron the latinos are becoming a large voting block you cannot just dismissed them like you did with blacks gay women and other minorities you need a majority to win and all whites do not buy your crap,1
when is bush going to be asked to campaign for romney when he does i will buy you a dinner i wonder why bush is not wanted the better question is why a sitting president like obama is not wanted notice he did fundraisers the weekend before the vote all around wisc never stopped in wisc notice no one wants his help campaigning,0
wait till a raptor grabs it in mid air bad days man,0
have you ever given him props or at least not dissed him out on any thread i am not a fan of his movies either but that do not mean i start talking shit on every fucking post,0
o other that dynamic has been clear since the teabaggers threw their first tantrum in january of and rush declared that he wanted the president to fail they want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choices over the past three years,0
you are stuck on stupid obviously give me a break and do not vote moron,1
this man s drunk as fuck he is on drugs he is a male prostitute,0
who told you that stupid ask yourself who kick his daughter out of the house at the age when it is comes protecting weaman you guys the last ppl on earth who can open their mounths,1
go west try big they are dope,0
ight ima get in on you mr army man or w e the fuck you are i have family fighting on battle field right now atleast members are all juggalos just like me you little ick sucking divk whipped bitch if you have the time to sit here and talk shit about family then you obviously are not doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy,1
you are so correct the red sox are the worst team,0
headlines going to be in a few months mark wright reject back home,0
i did not watch game so this morning watched sky see what fuss was about i have to say at times football fans have to put there loyalty to respective clubs aside what ballotelli did was a disgrace he won t admit it but that was deliberate and has no place in football i will be amazed if he is not banned,0
are you retarded you think iraq afghan were avenging deaths lol get yourself checked buddy even bush would laugh at you there is a reason why we are proud of india cuz we are not like us or israel who will or can go to war at the drop of a hat on the long run even that is proving costly to them so wake up we are talking about music here not war you dumb moron,1
no matter how great your body looks there is something pathetic desperate and trashy about a woman that old acting like that,0
piisii apparently knows nothing about cold facts republican trolls make us all sick with their non factual crap you can cry until your lies mean nothing to intelligent people,1
the bad part of the story is the dumb redneck republicans like yourself not sure if these folks are sociopaths like you though so you are probably a downgrade from them,0
you as stupid as you were yesterday,1
i may never see the light of day again he should never see the light of day again twisted beyond belief you couldn t do what he did to a dog let alone another human being,0
there are a lot of morons posting on this site but you are in a class all by yourself,1
you are a moron,1
how the fuck do you have orange beef but not orange chicken,0
suck my dick yeaah babby pussy,1
autumn you are and idiot red flag girls with no sense of humor,1
eli manning brett favre john elway,0
if she will not sleep with you you could probably just force yourself on her and any reasonable judge would take that tattoo as a permission to date rape stamp,0
holder and obama will be hit back from all directions and times as hard dozens inside the doj and the wh who have dignity and patriotism will turn on them both like rabid dogs this administration is goind down and right into federal prison nothing can stop it now nothing at all the people are pissed off and out for heads holder peice of shit obama fucked up sociopath,0
so is a skunk half black and half white and they both stink why do b l a c k people stink so blind people can h a t e them too lol,0
i wonder if that had stand up in court he might have killed someone but fuck me he can play cricket he was a prick,0
they are not the pg proposal is a list of people who have committed crimes with a gun not a way to register guns is no one else disturbed by the idea of the government maintaining lists of people they do not like cue you know who else had lists of people they do not like jokes in,0
you know if you stick a screw driver in your mouth and bang on your fillings you might be able to pick up an easy listening channel,0
that is because you are a nobody,1
the korem foundation will never see another dollar from me,0
i just did it but for some reason it is not registering maybe needs some time,0
i could be as effective ineffective as huff,0
yo this my nigga right here my n my boi lil b fuck bitches on the regular we fucking everyone bitches tell yo boys that yo bitches aint safe when mel gibson n lil b rollin out on a bitch hunt,1
oh hey i have yousaid it if you like,0
it means the world isn t changing it means the world has already changed steven goldstein chairman of the gay rights group garden state equality but right is right and wrong is still wrong,0
omg are you a vs girl also did you hit up the semi annual sale i went fucking crazy,0
you are incredibly stupid,1
in a few years they will make a damn movie about it uncle daddy rides again,0
i like you aggie,0
obamawon due to the media not doing their jobs we still know nothing about obama and its almost years later why,0
god bless you and may you live a long and fruitful life and spread your wisdom,0
ha i am glad you are pena s girl you know he really wants to play for the red sox he is from boston and went to northeastern but got cut by the sox and he is terrible haha you have zero valid points,0
i am a moderate i am fiscally conservative but am moderate on the social issues the republican party is no longer the party of goldwater teddy roosevelt nor even reagan the gop is the party of jerry falwell tony perkins and people like michelle bachmann because i am gay and can not find a place in the gop i voted for obama in however this year i am considering voting for romney this year republicans better hope romney gets the nomination because santorum would be handing the election to obama santorum is scary conservative he wants the government to be all up in peoples business and i would not be surprised if a president santorum created a morality police i believe the majority of americans are moderate and what this country needs is a moderate i am so tired of us swinging from extreme left to extreme right and back again,0
why did you do that because you smell like dog poo you are so stupid just like dog poo you are made outta poo,1
the democrats would sell out our young job seekers for a handful of illegal votes and a cent tomato,0
pass on grass and pass on rainbows and wings,0
you would not know a failed policy if it sent you and all your neighbors to the poorhouse,0
but jack from raleigh was not done he came back with this bit of furious grammatical genius holy hell jack calm down god d mn hilarious who writes your material grazid mm never even acknowledged we were here well accept when uber ticked him off grazid not only interacts with us he calls you dumb when you are being dumb right beeaner,0
maybe republicans cannot use filibusters in union votes to grind all decisions to a halt is probably enough to win elections there,0
a funny thing happened on the way to that forum but all the optimists were too happy to notice,0
yeah i am pathetic but your the idiot going around trolling other teams pages why do not you get f ing life you little sh thead,1
ron paul could start his own third party tomorrow and suck a large percentage of democrats republicans libertarians and independents with him you think ross perot was bad ron paul might even challenge to win running as a rd party candidate,0
we can tell by their mugshots who is pinky and who is brain lol,0
ugly bitch go prostitute yourself so dat you can buy a big enough pant bottom to cover your gigantic ass,1
if you want to lick jewish ass go do it in jerusalem but stop using this country you israel first traitor,0
agreed you come on here to proclaim a useless point to who the cnn community parasites that have nothing else better to do then trying to make a valid point to who,0
unless that happened by chance,0
are you edge triggered or level triggered,0
nice smelling er spelling sphincter,0
how do you know besides who says everyone has to have moral standards based on my gardener,0
too bad that would not do anything about the gay american citizens found in all other states,0
mr cagape the things you ve listed are true but only the tip of an iceberg i ve been in hong kong for two years now and the longer i stay here the more i hate this place it s horribly crowded which leads to plenty of rude people and deathly polluted air it s ridiculously expensive and even so the nicer and expensive restaurants are always booked out and the services are shit it s superficial if you are or want to be a nice person you will always get taken advantage of unless you dress in such a way that says i m rich on your forehead even if you are rich like some of the chinese mainlanders that rush into the city for a weekend shopping spree you will still get treated like shit i don t get why people love hong kong so much it may look civil on the outside but on the inside it s rotten to the core it s just capitalism you may say but i don t see it in the us and i don t even see it in china mainland which contrary to what they argue is very much capitalist living here doesn t make me rich it makes me pull ot everyday put up with selfish rude people everywhere and pay ridiculously high rent for a tiny apartment every month if i live here for another two years i will become so bitter that i might just fit in,0
yeah i know i am being a troll on purpose i still and will always be known as jskop i do not have to change my account every few days because i am awesome like that i can troll one day and the next be taken seriously by everyone,0
you all including your son deserve a slow painful and miserable death that s how zimmerman stands his ground,0
if you wrap your computer in foil you can stop them from taking your posts down,0
she is ugly so she would complain,0
operation dics distract investors from crashing stock,0
actually the packer still have the rights to jolly,0
from your computer through their website,0
this is what i wore to the most recent wedding i attended which was a daytime black tie optional affair i think i looked glamorous as fuck,0
pig noesed no talent jack this guy should get the worst actor award every year,0
and the last day is upon us will i be the lucky one doubt it but it is still a sexy piece of hardware,0
uh if the autopsy plus the exam of the girl prove that he was raping the daughter then he was caught red handed which does not fall under the category innocent until proven guilty if you would not do the same thing in that father s shoes then you do not have children,0
come on sweeney show us again man,0
its going to be difficult to lose weight in days honestly most of the weight that you will lose is going to be water and maybe a little bit of muscle and fat if you are very careful with your calories you can also be certain that you will gain it back again once you get of the diet i would recommend that to take it slow and easy so you can see the long term benefits i ve personally lost lbs since dec my blood pressure was now its my cholesterol was mg dl now its mg dl i am no longer pre diabetic and i am in the best shape of my life it was not easy but i can say that everyone can do it if they have the right program if you are interested in my story please head over to zdiets net cheers ryan e parker,0
you are a pussy ass punk,1
apparently hickson has said he will take the min to play with lebron again good bench player for the heat,0
simply terrible cop should be fired,0
very sorry about robin however i can guarantee that if this was a story about just your average person it would not be getting this much attention sorry if its offensive but tough shit its the truth and you all know it,0
haha atleast get your insults straight you idiot,1
o neil hold your ground do not admit to something you did not do to satisfy an outward agenda by those who want to conform to international racing for their own profit yes you have violations as many other trainers do but you are the center of attention right now no better person to attack you live in a faulty generation caught up in personal transference of wrongdoing by the general public focused on lack of commitment to themselves family and country doug just look around you and see what the present day ideology has done to our country now they want you to become part of that same agenda in the sports world do not do it the people around you know you for who you really are forget about the deadbeats and the press who themselves should be ashamed of their lack of responsibility to the people of this country focus on winning the triple crown your way you ve come this far on your own stay that way good luck the true fans will support you for who you are not what others want to make of you,0
hey cameren i just met you and this is crazy but here s my number so call me maybe,0
i stand corrected that was the memphis series but they beat the heat in then this yr okc swept mavs due to player improvement,0
